Open,Adj Close,Volume,Company,Direction
10.756,10.818,2777000,1,0
10.826,11.02,2189000,1,0
10.64,10.726,2946000,1,0
10.57,10.58,1358500,1,0
10.56,11.024,6653500,1,0
10.968,10.97,2739500,1,0
10.84,10.836,2424500,1,0
10.874,10.966,2137500,1,0
10.978,10.93,1595000,1,0
10.88,10.762,1530000,1,0
10.828,10.85,1915500,1,0
10.436,10.288,2328500,1,0
10.364,10.472,1362000,1,0
10.332,10.454,728500,1,0
10.624,10.554,713000,1,0
10.584,10.63,2646000,1,0
10.84,10.87,2396500,1,0
10.294,10.36,4781000,1,0
10.24,10.238,1207000,1,0
10.528,10.364,1220000,1,0
10.502,10.42,1931000,1,0
10.37,10.454,1094500,1,0
10.45,10.478,651500,1,0
10.418,10.522,1196000,1,0
10.22,10.22,1861500,1,0
10.268,10.33,1361500,1,0
10.374,10.396,1104500,1,0
10.396,10.426,1383000,1,0
10.354,10.27,1339000,1,0
10.294,10.254,1542500,1,0
10.154,10.24,1967500,1,0
10.1,10.168,2201500,1,0
10.26,10.362,1049500,1,0
10.22,10.13,5859000,1,0
10.266,10.29,2258000,1,0
10.38,10.418,1999000,1,0
10.564,10.544,1947000,1,0
10.29,10.344,2117500,1,0
10.4,10.47,1021500,1,0
10.59,10.548,1141500,1,0
10.9,10.77,2150500,1,0
11.08,11.08,1176500,1,0
11.004,10.998,1309000,1,0
11.094,11.14,1328000,1,0
11.332,11.486,1711000,1,0
11.676,11.708,1470500,1,0
11.768,11.718,1883000,1,0
11.776,11.7,1549500,1,0
11.54,11.364,3955500,1,0
11.46,11.288,7525000,1,0
11.22,11.186,5928000,1,0
11.36,11.24,1372000,1,0
11.276,11.204,730000,1,0
11.052,11.18,541500,1,0
11.116,11.2,682000,1,0
11.272,11.274,724000,1,0
11.612,11.756,1831000,1,0
11.916,11.93,1149000,1,0
11.526,11.664,982000,1,0
11.498,11.58,840000,1,0
11.554,11.458,868000,1,0
11.32,11.34,957000,1,0
11.22,11.278,1590000,1,0
11.5,11.362,741000,1,0
11.192,11.19,632500,1,0
11.134,11.168,650000,1,0
11.098,11.054,1327500,1,0
11.15,11.098,748500,1,0
11.058,11.05,691500,1,0
11.112,11,578000,1,0
11.06,11.052,922000,1,0
11.108,11.32,511000,1,0
11.102,11.212,822500,1,0
11.212,11.372,1025500,1,0
11.248,11.274,648500,1,0
11.08,11.002,742500,1,0
11.098,11.192,1445000,1,0
