Open,Adj Close,Volume,Company,Direction,,,Open,Adj Close,Volume,Company
11.134,11.168,650000,1,0,,,-0.500920573,4.792896367,-0.863029034,1
11.098,11.054,1327500,1,0,,,-0.519848326,4.678896367,-0.444377791,1
11.15,11.098,748500,1,0,,,-0.492508239,4.722896367,-0.802162396,1
11.058,11.05,691500,1,0,,,-0.540879162,4.674896367,-0.837384714,1
11.112,11,578000,1,0,,,-0.512487533,4.624896367,-0.907520384,1
11.06,11.052,922000,1,0,,,-0.53982762,4.676896367,-0.694950601,1
11.108,11.32,511000,1,0,,,-0.514590617,4.944896367,-0.948922057,1
11.102,11.212,822500,1,0,,,-0.517745242,4.836896367,-0.756435175,1
11.212,11.372,1025500,1,0,,,-0.459910443,4.996896367,-0.630994286,1
11.248,11.274,648500,1,0,,,-0.440982691,4.898896367,-0.863955937,1
11.08,11.002,742500,1,0,,,-0.529312202,4.626896367,-0.805870008,1
11.098,11.192,1445000,1,0,,,-0.519848326,4.816896367,-0.37177038,1
11.178,11.41,3666000,1,0,,,-0.477786654,5.034896367,1.000664175,1
11.66,11.748,3224000,1,0,,,-0.224365081,5.372896367,0.727536722,1
12.38,12.264,5422000,1,0,,,0.154189966,5.888896367,2.085758763,1
11.92,11.826,2004500,1,0,,,-0.087664647,5.450896367,-0.026035515,1
12.04,11.85,1783000,1,0,,,-0.024572139,5.474896367,-0.16290821,1
11.86,11.69,1691000,1,0,,,-0.119210901,5.314896367,-0.219758268,1
11.894,12.014,2239000,1,0,,,-0.101334691,5.638896367,0.118870339,1
11.808,11.99,751000,1,0,,,-0.146550988,5.614896367,-0.800617557,1
11.8,11.992,527000,1,0,,,-0.150757155,5.616896367,-0.93903509,1
12.024,12.184,1221500,1,0,,,-0.032984474,5.808896367,-0.509878945,1
12.54,12.61,2450000,1,0,,,0.23831331,6.234896367,0.249254712,1
12.64,12.64,2066500,1,0,,,0.2908904,6.264896367,0.01227648,1
12.6,12.62,3953000,1,0,,,0.269859564,6.244896367,1.178011639,1
