Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF
2020-08-21,4592500,1337000,0,0,0,0,654700,654700,3435700,0
2020-08-24,3133500,0,0,0,1842600,0,455900,455900,0,100
2020-08-25,8956500,636000,23043700,3659000,857600,700600,0,0,3723500,0
2020-08-26,5314000,900600,39600800,7046400,1580500,892900,399400,399400,0,600
2020-08-27,0,0,57602200,0,0,0,0,0,0,0
2020-08-28,3985000,1010000,26292900,0,0,0,0,0,2338000,0
2020-08-31,3435000,0,0,6269500,0,918500,0,0,0,0
2020-09-01,12259500,1061900,25725500,0,0,913400,509600,509600,2989300,0
2020-09-02,0,0,34080800,0,2337400,0,0,0,0,0
2020-09-03,0,0,0,0,0,0,0,0,0,100
2020-09-04,3591000,0,0,0,0,0,0,0,3439900,0
2020-09-07,0,0,0,0,0,0,0,0,0,0
2020-09-08,3520000,0,0,0,0,0,360900,360900,3321900,200
2020-09-09,5317000,888300,45679000,6984700,2776500,0,565700,565700,2705000,0
2020-09-10,0,0,0,0,0,0,0,0,0,0
2020-09-11,998000,0,0,0,0,0,1513900,1513900,0,800
2020-09-14,2050000,676200,30375800,6221600,0,1022000,756200,756200,1971700,200
2020-09-15,2821500,0,21823900,6500800,2129600,1071100,0,0,0,200
2020-09-16,2782000,0,0,0,0,0,434100,434100,0,0
2020-09-17,0,1461500,34011300,7609500,2151800,1310400,477000,477000,0,0
2020-09-18,0,0,0,9409400,3402700,0,928900,928900,4876800,0
2020-09-21,967000,762500,39839700,6293200,2017400,1508700,0,0,3414600,0
2020-09-22,0,0,33517100,6237500,2081900,0,0,0,0,0
2020-09-23,0,0,0,0,0,0,1010900,1010900,0,0
2020-09-24,1941500,834700,31202500,5023700,2001500,768000,703000,703000,2265300,0
2020-09-25,956000,617700,29437300,4954300,1915600,829800,1275400,1275400,4351300,100
2020-09-28,0,0,0,3838100,0,979100,1224300,1224300,0,0
2020-09-29,827500,449100,0,0,0,0,1262500,1262500,0,0
2020-09-30,1295000,706700,33829100,7455000,2164200,929100,0,0,3734900,0
2020-10-01,639000,0,0,6035900,1868800,0,0,0,2571200,300
2020-10-02,2979000,1392000,0,0,0,0,1041300,1041300,0,100
