Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF,1,2,3,4,5,6,7,8,9,10
2020-04-15,0,0,0,0,0,0,0,0,0,0,2777000.0,0.0,40940800.0,9411300.0,2991100.0,3100000.0,3584900.0,914700.0,914700.0,1100.0
2020-04-16,0,0,0,0,0,0,0,0,0,0,2189000.0,0.0,50479600.0,11276000.0,5469800.0,4020600.0,4626500.0,988600.0,988600.0,0.0
2020-04-17,0,0,0,0,0,0,0,0,0,0,2946000.0,3182300.0,0.0,10942300.0,0.0,0.0,0.0,0.0,0.0,300.0
2020-04-20,0,0,0,0,0,0,0,0,0,0,1358500.0,0.0,0.0,0.0,0.0,2946100.0,1881800.0,775300.0,775300.0,0.0
2020-04-21,0,0,0,0,0,0,0,0,0,0,6653500.0,0.0,0.0,0.0,0.0,0.0,0.0,935600.0,935600.0,400.0
2020-04-22,0,0,0,0,0,0,0,0,0,0,2739500.0,0.0,34620200.0,6687200.0,0.0,2558900.0,1938000.0,844400.0,844400.0,0.0
2020-04-23,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547400.0,547400.0,0.0
2020-04-24,0,0,0,0,0,0,0,0,0,0,2137500.0,0.0,34277600.0,7314300.0,1635600.0,1753800.0,1137800.0,0.0,0.0,0.0
2020-04-27,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0
2020-04-28,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849600.0,849600.0,0.0
2020-04-29,0,0,0,0,0,0,0,0,0,0,1915500.0,1193600.0,51286600.0,8572600.0,0.0,3911900.0,1492400.0,0.0,0.0,900.0
2020-04-30,0,0,0,0,0,0,0,0,0,0,0.0,1108900.0,0.0,0.0,0.0,3506700.0,1210200.0,0.0,0.0,0.0
2020-05-01,0,0,0,0,0,0,0,0,0,0,1362000.0,0.0,0.0,5103500.0,0.0,2378600.0,1428300.0,840800.0,840800.0,900.0
2020-05-04,0,0,0,0,0,0,0,0,0,0,728500.0,0.0,30372900.0,7778100.0,2443600.0,3284800.0,1527500.0,0.0,0.0,0.0
2020-05-05,0,0,0,0,0,0,0,0,0,0,0.0,957200.0,36839200.0,15461900.0,0.0,5060600.0,0.0,0.0,0.0,1300.0
2020-05-06,0,0,0,0,0,0,0,0,0,0,2646000.0,913600.0,32139300.0,0.0,0.0,6082900.0,1363300.0,0.0,0.0,0.0
2020-05-07,0,0,0,0,0,0,0,0,0,0,2396500.0,900400.0,0.0,8649600.0,2647100.0,3579000.0,0.0,859000.0,859000.0,0.0
2020-05-08,0,0,0,0,0,0,0,0,0,0,4781000.0,957700.0,0.0,0.0,5009800.0,3597800.0,1314400.0,0.0,0.0,0.0
2020-05-11,0,0,0,0,0,0,0,0,0,0,0.0,916800.0,30892700.0,9285200.0,4730200.0,2899100.0,2106600.0,0.0,0.0,0.0
2020-05-12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575400.0,575400.0,0.0
2020-05-13,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,8807700.0,0.0,0.0,0.0,652200.0,652200.0,6300.0
2020-05-14,0,0,0,0,0,0,0,0,0,0,1094500.0,1329900.0,41873900.0,0.0,6025700.0,2802800.0,1165200.0,0.0,0.0,200.0
2020-05-15,0,0,0,0,0,0,0,0,0,0,651500.0,1241200.0,46610400.0,5854200.0,4853900.0,3268100.0,1749300.0,0.0,0.0,56500.0
2020-05-18,0,0,0,0,0,0,0,0,0,0,1196000.0,1976900.0,0.0,0.0,3471400.0,4335100.0,2692500.0,0.0,0.0,200.0
